age_group,fact_correct,opinion_correct
50+,4,3
50+,4,5
50+,5,5
50+,1,2
18-49,4,4
50+,2,4
50+,3,2
50+,5,4
18-49,2,4
50+,1,4
50+,5,5
50+,4,5
50+,5,4
18-49,5,5
50+,2,5
50+,3,2
50+,5,5
18-49,3,5
50+,1,2
50+,3,2
18-49,1,4
50+,4,4
50+,4,3
18-49,1,5
50+,1,2
50+,0,5
50+,4,4
50+,3,2
18-49,4,3
50+,4,4
50+,4,5
18-49,0,5
50+,4,5
18-49,4,2
50+,3,4
18-49,5,5
18-49,5,5
18-49,5,5
18-49,4,3
50+,3,3
50+,4,5
50+,5,5
50+,5,4
18-49,5,5
18-49,4,5
50+,2,2
50+,2,1
50+,4,4
50+,0,4
50+,5,5
50+,5,5
50+,4,5
50+,5,5
50+,2,3
50+,3,4
18-49,3,2
50+,5,1
18-49,3,5
50+,5,3
50+,2,4
50+,1,5
50+,2,4
18-49,3,3
18-49,5,4
18-49,5,5
50+,5,4
18-49,5,5
50+,4,5
18-49,4,5
50+,1,1
50+,4,2
50+,3,5
50+,3,3
50+,5,2
50+,5,5
18-49,3,1
50+,5,5
50+,1,5
50+,4,5
50+,5,5
18-49,5,2
18-49,1,5
50+,5,3
50+,1,2
18-49,4,2
18-49,5,5
50+,4,4
18-49,1,5
50+,4,3
50+,5,4
18-49,5,5
18-49,5,5
18-49,4,5
18-49,2,3
18-49,3,5
18-49,5,5
50+,2,2
50+,4,5
50+,4,4
18-49,3,3
50+,3,3
50+,1,2
50+,4,3
50+,4,1
50+,1,2
50+,3,1
18-49,5,4
18-49,5,4
50+,5,4
50+,3,5
50+,5,4
50+,2,5
50+,1,4
50+,3,2
50+,5,5
50+,3,3
18-49,3,4
18-49,2,3
50+,2,3
50+,1,4
50+,1,2
18-49,3,2
18-49,5,4
50+,3,4
18-49,2,4
18-49,4,5
50+,5,4
50+,4,5
50+,4,3
18-49,3,4
50+,4,3
18-49,5,4
50+,4,5
50+,4,2
50+,4,5
50+,0,1
18-49,3,1
50+,4,5
18-49,5,5
18-49,5,5
50+,4,4
50+,0,5
50+,4,5
50+,4,3
50+,5,5
18-49,5,5
50+,4,5
50+,3,5
18-49,2,5
18-49,4,5
50+,4,4
50+,3,2
18-49,4,5
50+,2,3
50+,3,3
18-49,5,5
50+,2,4
18-49,5,5
50+,1,3
18-49,2,2
50+,0,3
50+,4,4
50+,1,3
50+,4,5
50+,4,4
50+,1,4
18-49,4,5
50+,0,3
50+,5,5
18-49,4,5
50+,5,5
50+,4,5
18-49,5,5
18-49,5,5
50+,1,2
18-49,3,4
50+,4,2
50+,4,4
18-49,5,5
18-49,5,5
18-49,5,5
18-49,5,5
18-49,3,2
50+,1,3
50+,3,4
18-49,4,4
50+,5,5
50+,2,1
50+,2,3
18-49,4,5
50+,5,5
50+,5,5
50+,0,2
50+,3,2
50+,4,3
18-49,5,5
18-49,3,2
50+,3,2
50+,1,2
50+,2,4
50+,3,5
50+,2,2
50+,4,4
18-49,4,4
50+,4,4
50+,2,0
50+,1,2
50+,3,5
50+,2,3
50+,2,4
50+,3,5
50+,2,5
50+,4,2
18-49,5,5
18-49,2,4
18-49,4,5
18-49,0,5
18-49,0,5
50+,2,3
18-49,0,0
18-49,3,5
18-49,4,4
50+,3,2
50+,4,5
50+,2,3
18-49,5,5
50+,3,5
18-49,4,3
18-49,5,1
18-49,4,2
50+,5,5
50+,5,5
50+,2,4
18-49,4,5
50+,4,5
50+,3,3
50+,4,3
18-49,5,4
50+,5,5
18-49,4,1
50+,4,5
18-49,4,4
50+,4,1
50+,4,3
18-49,5,5
50+,2,5
50+,4,0
50+,2,5
18-49,2,4
50+,3,4
18-49,5,5
50+,2,3
50+,5,5
50+,5,5
50+,1,4
50+,4,5
18-49,5,4
50+,1,1
50+,1,4
50+,3,2
50+,3,4
50+,1,4
50+,4,5
18-49,5,5
18-49,4,5
18-49,1,2
18-49,3,5
18-49,4,4
50+,5,3
18-49,4,5
18-49,5,5
50+,2,5
50+,4,3
50+,3,4
50+,3,5
18-49,4,2
18-49,3,4
50+,2,2
50+,5,3
18-49,3,3
50+,4,4
50+,5,5
50+,4,2
50+,2,3
18-49,5,5
50+,3,4
50+,1,2
18-49,4,5
50+,4,2
18-49,4,0
50+,3,3
18-49,5,5
50+,2,1
50+,5,4
50+,4,4
18-49,4,5
18-49,4,3
18-49,3,3
50+,5,5
18-49,5,4
50+,3,3
50+,4,5
50+,4,1
50+,4,2
50+,2,2
50+,2,5
50+,3,4
50+,4,2
50+,5,5
50+,5,5
50+,3,2
50+,3,3
50+,4,5
50+,3,3
50+,4,5
18-49,5,5
50+,4,4
50+,2,5
18-49,5,5
50+,3,5
18-49,4,4
50+,5,5
18-49,2,3
50+,4,3
50+,4,4
50+,3,5
50+,3,1
18-49,2,4
50+,5,4
50+,4,2
50+,2,4
50+,4,4
50+,2,2
50+,3,2
18-49,5,5
18-49,3,5
18-49,4,5
50+,4,4
50+,4,4
50+,5,3
50+,5,2
18-49,3,2
18-49,5,4
50+,3,0
50+,3,3
18-49,5,5
18-49,3,3
18-49,1,2
18-49,4,1
50+,5,4
18-49,4,4
50+,3,2
18-49,5,3
50+,2,5
18-49,4,4
50+,4,3
50+,2,2
50+,3,3
18-49,2,4
50+,4,4
18-49,5,5
50+,5,4
50+,4,4
50+,3,2
18-49,1,3
50+,5,5
18-49,3,3
18-49,5,4
50+,4,2
18-49,5,4
50+,5,5
50+,1,2
50+,4,5
18-49,2,1
50+,3,5
18-49,3,2
50+,1,2
18-49,1,5
50+,1,4
18-49,2,5
50+,5,4
50+,5,3
50+,2,3
18-49,5,5
18-49,4,5
50+,3,2
18-49,1,4
50+,3,3
50+,5,3
50+,4,4
50+,1,4
18-49,4,5
50+,0,5
18-49,5,5
18-49,4,4
18-49,5,5
18-49,5,5
50+,0,4
18-49,5,3
18-49,3,5
50+,5,5
50+,5,4
50+,3,2
18-49,5,5
18-49,2,5
18-49,1,5
50+,5,4
50+,5,2
50+,2,2
50+,1,4
18-49,5,5
18-49,5,5
50+,3,4
50+,3,3
50+,1,5
18-49,2,4
50+,5,5
50+,2,3
50+,2,0
50+,3,4
18-49,0,5
50+,3,5
50+,5,5
18-49,0,5
50+,3,3
50+,1,4
50+,0,5
50+,3,5
18-49,5,5
50+,5,4
50+,1,5
50+,2,4
18-49,2,3
18-49,4,5
50+,4,1
50+,4,4
50+,1,2
50+,5,5
18-49,4,5
18-49,0,5
18-49,5,5
18-49,4,5
18-49,3,2
18-49,1,1
50+,2,3
18-49,5,5
50+,4,5
50+,0,3
50+,4,4
18-49,5,1
18-49,5,5
18-49,4,4
18-49,4,5
18-49,4,4
50+,5,3
50+,5,2
50+,3,2
18-49,3,4
50+,5,3
18-49,2,3
18-49,2,3
18-49,3,4
50+,4,4
50+,5,5
50+,5,3
50+,3,3
18-49,1,4
18-49,5,3
50+,2,5
50+,2,5
50+,3,2
18-49,1,5
18-49,5,5
50+,4,4
50+,3,3
18-49,5,5
50+,4,4
50+,1,5
18-49,4,5
50+,4,3
18-49,5,5
18-49,2,2
50+,2,2
18-49,4,4
50+,4,4
50+,3,4
50+,3,3
18-49,5,1
18-49,2,4
50+,3,5
50+,2,4
18-49,3,5
50+,2,3
18-49,5,5
50+,3,5
50+,5,5
50+,2,3
18-49,2,2
50+,4,1
18-49,4,5
18-49,3,5
50+,1,1
50+,1,4
18-49,4,5
50+,4,5
18-49,4,3
18-49,2,3
18-49,3,2
18-49,3,1
50+,1,3
50+,1,3
50+,4,2
18-49,1,5
50+,4,5
50+,4,2
50+,3,4
50+,5,5
50+,5,5
18-49,5,5
50+,5,5
18-49,4,5
50+,5,5
18-49,5,3
18-49,4,3
18-49,4,5
18-49,5,5
50+,4,5
50+,3,2
50+,2,4
50+,5,5
50+,4,3
50+,5,4
18-49,5,5
50+,2,2
18-49,5,5
50+,5,5
50+,2,5
18-49,1,3
18-49,5,5
50+,0,3
50+,2,5
50+,5,3
18-49,5,3
18-49,4,3
50+,1,2
50+,3,3
50+,2,3
50+,4,3
18-49,4,4
18-49,4,3
50+,3,3
50+,5,5
50+,2,1
18-49,3,4
50+,2,4
50+,2,1
18-49,4,5
18-49,4,5
50+,4,5
18-49,2,4
18-49,5,4
50+,4,3
18-49,4,5
50+,5,1
50+,5,3
50+,3,1
50+,5,5
50+,3,5
18-49,3,4
50+,4,3
50+,2,0
50+,3,1
50+,2,4
18-49,3,5
50+,4,3
50+,3,5
50+,3,2
50+,2,4
50+,2,2
50+,4,3
50+,3,3
50+,5,4
50+,4,4
18-49,3,5
50+,4,4
18-49,4,5
50+,5,2
18-49,5,5
50+,4,2
50+,5,4
50+,3,4
50+,3,4
18-49,2,4
50+,5,5
50+,5,5
18-49,5,5
50+,5,2
50+,3,2
18-49,4,5
18-49,1,5
50+,4,2
18-49,5,4
18-49,5,5
18-49,4,5
50+,4,5
50+,5,5
50+,3,3
50+,5,5
18-49,3,4
18-49,3,4
50+,5,5
18-49,5,5
50+,5,5
18-49,3,4
50+,5,5
50+,3,4
18-49,5,5
50+,3,2
18-49,5,5
50+,4,5
18-49,5,4
50+,5,4
50+,5,3
50+,2,2
18-49,5,5
50+,5,4
18-49,5,5
50+,2,3
18-49,5,5
18-49,4,2
18-49,3,4
50+,2,4
50+,4,4
50+,2,3
18-49,4,4
50+,5,4
18-49,5,2
18-49,3,3
18-49,2,3
50+,4,2
50+,4,5
50+,4,4
50+,4,4
18-49,3,5
18-49,1,4
50+,3,2
50+,4,5
18-49,5,5
50+,5,5
50+,3,4
50+,5,4
50+,5,5
50+,5,5
50+,5,5
18-49,5,0
18-49,5,5
18-49,4,5
50+,5,5
50+,3,5
18-49,4,4
18-49,5,3
50+,5,5
50+,4,3
18-49,3,1
50+,5,5
50+,3,5
18-49,5,5
18-49,5,5
18-49,5,5
18-49,4,3
50+,5,4
18-49,3,2
18-49,3,1
50+,3,2
50+,4,5
50+,4,5
18-49,4,5
50+,3,4
18-49,5,5
50+,4,3
50+,4,2
18-49,2,1
50+,3,4
50+,3,3
50+,4,4
50+,5,5
18-49,4,4
18-49,0,4
18-49,3,5
50+,4,5
50+,4,5
18-49,5,5
50+,3,3
50+,3,5
50+,3,0
18-49,2,5
50+,4,2
50+,0,3
18-49,2,3
50+,5,3
50+,5,5
50+,4,5
50+,4,1
18-49,5,5
18-49,3,5
18-49,3,4
50+,5,4
18-49,5,5
50+,4,5
50+,5,3
50+,4,4
50+,5,4
50+,5,4
50+,2,2
50+,4,1
18-49,5,4
50+,3,4
50+,2,2
50+,2,4
50+,2,2
18-49,3,3
50+,3,3
18-49,5,5
50+,1,3
50+,2,3
18-49,4,4
18-49,5,5
18-49,1,2
18-49,5,2
18-49,5,5
50+,5,5
50+,3,4
50+,4,5
18-49,1,3
18-49,3,5
18-49,2,4
18-49,3,2
50+,4,3
50+,4,5
50+,5,5
18-49,4,3
18-49,2,4
50+,5,2
50+,5,4
50+,5,5
18-49,4,4
50+,2,5
50+,4,3
50+,5,5
50+,2,3
50+,3,2
50+,4,1
18-49,2,4
18-49,3,3
50+,3,1
18-49,5,4
50+,4,5
50+,1,2
18-49,5,5
50+,3,5
18-49,2,3
50+,3,5
50+,1,3
18-49,2,3
50+,3,4
18-49,0,0
50+,2,3
18-49,5,0
18-49,3,3
18-49,3,4
50+,4,5
18-49,1,4
50+,4,3
18-49,4,3
18-49,5,4
50+,4,3
50+,4,3
50+,2,4
50+,5,4
18-49,5,4
50+,4,5
18-49,4,2
18-49,3,5
50+,4,5
50+,3,4
18-49,4,1
18-49,4,5
50+,2,5
18-49,5,5
50+,0,0
50+,5,5
18-49,3,4
50+,5,4
18-49,5,5
50+,2,4
50+,4,2
18-49,5,5
18-49,3,4
50+,3,2
50+,4,5
50+,5,5
18-49,3,3
50+,5,3
18-49,5,5
50+,1,2
18-49,5,4
50+,0,5
50+,0,5
18-49,4,1
18-49,1,3
50+,3,4
50+,0,3
18-49,5,5
50+,3,2
18-49,3,4
18-49,2,5
50+,4,5
50+,1,3
18-49,5,5
50+,4,4
18-49,5,1
50+,4,5
50+,3,1
18-49,2,3
18-49,3,5
18-49,5,5
50+,5,2
18-49,1,4
18-49,0,5
50+,3,2
50+,5,5
18-49,4,4
50+,0,3
50+,2,3
18-49,4,5
50+,3,0
50+,4,2
18-49,2,1
50+,5,5
18-49,3,4
18-49,3,4
18-49,4,4
18-49,4,3
50+,2,1
50+,4,4
18-49,2,3
50+,5,5
18-49,4,3
18-49,5,5
18-49,1,3
18-49,3,2
18-49,5,1
50+,4,0
50+,3,2
50+,1,4
50+,5,5
18-49,3,4
50+,5,5
50+,2,3
18-49,0,4
18-49,1,3
18-49,3,2
50+,4,2
50+,1,5
18-49,4,5
18-49,2,5
50+,3,3
50+,5,4
18-49,0,5
18-49,5,5
18-49,4,3
50+,3,2
18-49,5,4
18-49,4,3
50+,0,0
18-49,2,2
50+,5,4
50+,5,4
50+,5,5
18-49,5,5
50+,5,5
50+,1,3
50+,5,5
50+,5,4
50+,4,4
50+,3,3
50+,5,4
18-49,5,5
50+,4,3
50+,1,4
18-49,4,5
50+,4,2
50+,0,5
50+,3,2
18-49,5,5
18-49,5,5
50+,4,3
50+,1,4
50+,5,5
18-49,3,3
18-49,5,4
50+,3,4
50+,0,2
18-49,5,4
18-49,2,1
50+,3,4
50+,4,5
50+,2,0
50+,2,2
50+,4,0
18-49,5,5
50+,5,5
50+,5,5
18-49,4,4
50+,5,5
50+,5,5
18-49,4,5
50+,4,5
50+,2,3
50+,4,2
50+,3,5
50+,2,4
50+,3,1
18-49,4,2
18-49,2,3
50+,5,5
50+,2,3
18-49,0,0
50+,5,5
18-49,2,2
50+,3,4
50+,0,5
50+,4,3
18-49,2,4
18-49,5,4
50+,2,5
50+,4,2
50+,4,5
50+,3,5
50+,3,2
18-49,5,4
50+,4,5
18-49,4,4
50+,2,2
18-49,3,4
18-49,3,3
50+,4,3
50+,4,3
50+,3,3
18-49,2,4
18-49,5,5
50+,2,4
50+,2,2
18-49,3,2
18-49,5,5
18-49,4,4
18-49,2,5
50+,5,4
50+,2,1
50+,5,2
18-49,5,4
50+,2,4
18-49,3,3
18-49,0,5
50+,4,1
18-49,5,5
50+,3,4
50+,1,0
18-49,5,5
50+,2,1
50+,2,3
18-49,2,4
50+,5,5
50+,3,3
50+,4,1
18-49,3,1
50+,3,2
18-49,4,5
18-49,5,5
50+,4,5
50+,3,2
50+,4,5
50+,4,3
18-49,1,3
50+,3,1
50+,5,2
50+,2,4
50+,2,3
18-49,5,3
50+,0,4
50+,5,4
50+,4,4
18-49,5,5
50+,1,3
18-49,3,1
50+,1,3
18-49,4,4
18-49,5,5
50+,2,4
50+,3,2
50+,3,5
18-49,5,5
50+,4,4
18-49,3,5
18-49,2,2
18-49,3,1
50+,3,3
50+,5,2
18-49,3,4
18-49,3,5
18-49,4,5
50+,5,2
50+,3,5
18-49,4,2
50+,0,3
18-49,3,2
50+,5,5
18-49,2,1
18-49,4,5
18-49,4,5
50+,2,2
50+,2,0
18-49,4,3
50+,4,3
50+,3,5
50+,4,3
50+,5,5
18-49,4,3
50+,5,4
50+,3,4
50+,3,4
18-49,2,4
18-49,5,5
18-49,4,2
18-49,4,1
50+,3,4
18-49,2,4
18-49,4,3
50+,2,3
18-49,1,3
50+,5,2
18-49,0,0
18-49,5,5
18-49,3,3
50+,4,3
50+,2,5
50+,4,2
50+,3,0
50+,2,3
50+,1,2
18-49,2,4
50+,5,4
50+,3,2
50+,3,4
18-49,5,5
50+,4,4
50+,5,0
50+,2,3
18-49,4,5
50+,4,5
18-49,5,3
50+,4,4
18-49,3,4
18-49,2,5
18-49,5,4
18-49,2,5
50+,2,1
50+,1,3
50+,5,5
18-49,4,3
18-49,2,4
50+,4,4
50+,2,3
50+,4,5
50+,3,3
18-49,3,4
18-49,5,5
50+,4,3
50+,1,2
50+,1,5
50+,5,5
18-49,4,5
18-49,0,5
50+,2,4
50+,5,5
50+,4,5
18-49,5,4
50+,4,3
18-49,5,1
50+,5,5
50+,3,4
50+,5,3
50+,2,2
50+,2,4
50+,4,5
50+,4,3
18-49,2,5
18-49,4,3
50+,4,5
50+,3,5
18-49,5,4
18-49,5,5
50+,4,1
18-49,5,5
50+,5,5
18-49,5,5
50+,4,4
50+,2,4
18-49,5,5
50+,1,3
50+,4,5
50+,0,4
50+,4,5
50+,4,3
18-49,4,5
18-49,5,5
50+,3,5
50+,1,0
50+,4,5
18-49,5,5
50+,5,5
50+,0,1
18-49,2,4
18-49,1,5
18-49,5,3
50+,5,2
18-49,3,5
50+,3,5
18-49,4,5
18-49,4,4
50+,2,2
50+,4,3
50+,3,1
50+,3,2
50+,3,2
50+,2,5
18-49,2,2
50+,3,2
18-49,5,5
50+,1,5
50+,3,5
18-49,2,2
18-49,5,0
18-49,3,1
50+,3,3
18-49,5,5
50+,2,4
18-49,4,2
50+,4,4
50+,5,5
18-49,5,5
18-49,0,1
50+,2,3
50+,3,3
50+,5,5
18-49,5,4
50+,3,3
50+,4,5
50+,3,4
50+,1,5
18-49,5,5
50+,3,3
50+,1,4
50+,5,2
50+,0,2
50+,3,2
18-49,1,5
50+,4,5
50+,4,5
50+,3,2
50+,3,5
50+,3,5
50+,5,5
50+,0,4
50+,3,3
50+,4,5
50+,1,5
50+,2,2
18-49,5,5
50+,4,4
50+,3,3
18-49,4,5
50+,5,5
50+,5,5
50+,5,5
18-49,4,4
18-49,4,3
18-49,4,2
50+,5,5
50+,4,4
50+,2,2
50+,3,5
18-49,1,4
50+,1,4
50+,4,2
50+,4,5
18-49,3,4
50+,4,2
18-49,4,5
18-49,5,5
50+,1,3
18-49,4,2
50+,5,4
50+,2,5
18-49,5,5
18-49,5,5
18-49,2,2
50+,2,3
50+,3,3
50+,4,5
50+,3,4
50+,3,3
50+,1,3
50+,5,4
18-49,4,2
50+,3,2
50+,4,3
50+,4,2
18-49,5,5
18-49,5,4
18-49,4,4
18-49,5,5
50+,4,2
18-49,5,2
18-49,4,5
50+,0,4
50+,3,5
18-49,0,5
50+,5,1
18-49,0,2
50+,5,5
50+,3,3
50+,3,2
50+,5,5
50+,3,4
18-49,5,3
50+,2,2
50+,2,3
50+,5,5
